line,rep,dai,dead_seedlings,total_seedlings,isolate
LD07-3395bf,rep3,dai.10,8,8,OH4
LD07-3395bf,rep3,dai.5,8,8,OH4
LD08-12435a,rep1,dai.10,3,8,OH4
LD08-12435a,rep1,dai.5,3,8,OH4
LD08-12435a,rep2,dai.10,10,10,OH4
LD08-12435a,rep2,dai.5,8,10,OH4
LD08-12435a,rep3,dai.10,7,7,OH4
LD08-12435a,rep3,dai.5,7,7,OH4
LD08-12441a,rep1,dai.10,5,7,OH4
LD08-12441a,rep1,dai.5,3,7,OH4
LD08-12441a,rep2,dai.10,5,8,OH4
LD08-12441a,rep2,dai.5,6,8,OH4
LD08-12441a,rep3,dai.10,7,7,OH4
LD08-12441a,rep3,dai.5,7,7,OH4
LD09-10911,rep1,dai.10,6,9,OH4
LD09-10911,rep1,dai.5,5,9,OH4
LD09-10911,rep2,dai.10,7,10,OH4
LD09-10911,rep2,dai.5,7,10,OH4
LD09-10911,rep3,dai.10,10,10,OH4
LD09-10911,rep3,dai.5,10,10,OH4
LD09-30224,rep1,dai.10,1,9,OH4
LD09-30224,rep1,dai.5,1,9,OH4
LD09-30224,rep2,dai.10,3,10,OH4
LD09-30224,rep2,dai.5,3,10,OH4
LD09-30224,rep3,dai.10,6,8,OH4
LD09-30224,rep3,dai.5,6,8,OH4
LD10-10198,rep1,dai.10,8,9,OH4
LD10-10198,rep1,dai.5,7,9,OH4
LD10-10198,rep2,dai.10,9,9,OH4
LD10-10198,rep2,dai.5,7,9,OH4
LD10-10198,rep3,dai.10,9,9,OH4
LD10-10198,rep3,dai.5,9,9,OH4
LD10-10219,rep1,dai.10,6,9,OH4
LD10-10219,rep1,dai.5,6,9,OH4
LD10-10219,rep2,dai.10,3,9,OH4
LD10-10219,rep2,dai.5,4,9,OH4
LD10-10219,rep3,dai.10,9,9,OH4
LD10-10219,rep3,dai.5,8,9,OH4
LD10-5213a,rep1,dai.10,7,9,OH4
LD10-5213a,rep1,dai.5,7,9,OH4
LD10-5213a,rep2,dai.10,7,10,OH4
LD10-5213a,rep2,dai.5,7,10,OH4
LD10-5213a,rep3,dai.10,10,10,OH4
LD10-5213a,rep3,dai.5,10,10,OH4
LD10-9168,rep1,dai.10,7,9,OH4
LD10-9168,rep1,dai.5,7,9,OH4
LD10-9168,rep2,dai.10,7,10,OH4
LD10-9168,rep2,dai.5,7,10,OH4
LD10-9168,rep3,dai.10,9,9,OH4
LD10-9168,rep3,dai.5,9,9,OH4
LD10-9200,rep1,dai.10,8,10,OH4
LD10-9200,rep1,dai.5,8,10,OH4
LD10-9200,rep2,dai.10,7,7,OH4
LD10-9200,rep2,dai.5,5,7,OH4
LD10-9200,rep3,dai.10,10,10,OH4
LD10-9200,rep3,dai.5,10,10,OH4
LD11-10069,rep1,dai.10,9,10,OH4
LD11-10069,rep1,dai.5,8,10,OH4
LD11-10069,rep2,dai.10,9,9,OH4
